text
"
      “Do one thing every day that scares you.”
  "
"
      “We are what we pretend to be, so we must be careful about what we pretend to be.”
  "
"
      “Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.”
  "
"
      “When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”
  "
"
      “Hold fast to dreams,"
"
      “What's meant to be will always find a way”
  "
"
      “The flower that blooms in adversity is the rarest and most beautiful of all.”
  "
"
      “If you're reading this..."
"
      “We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”
  "
"
      “You never have to change anything you got up in the middle of the night to write.”
  "
"
      “The unexamined life is not worth living.”
  "
"
      “Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”
  "
"
      “And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”
  "
"
      “I was never really insane except upon occasions when my heart was touched.”
  "
"
      “Pain is temporary. Quitting lasts forever.”
  "
"
      “It's not the load that breaks you down, it's the way you carry it.”
  "
"
      “The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”
  "
"
      “It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.”
  "
"
      “You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.”
  "
"
      “And still, after all this time,"
"
      “I dream my painting and I paint my dream.”
  "
"
      “Understanding is the first step to acceptance, and only with acceptance can there be recovery.”
  "
"
      “What you do makes a difference, and you have to decide what kind of difference you want to make.”
  "
"
      “Do you want to know who you are? Don't ask. Act! Action will delineate and define you.”
  "
"
      “If you treat an individual as he is, he will remain how he is. But if you treat him as if he were what he ought to be and could be, he will become what he ought to be and could be.”
  "
"
      “You yourself, as much as anybody in the entire universe, deserve your love and affection”
  "
"
      “Love is the absence of judgment.”
  "
"
      “There are years that ask questions and years that answer.”
  "
"
      “I read once that the ancient Egyptians had fifty words for sand & the Eskimos had a hundred words for snow. I wish I had a thousand words for love, but all that comes to mind is the way you move against me while you sleep & there are no words for that.”
  "
"
      “You have power over your mind - not outside events. Realize this, and you will find strength.”
  "
text
"
      “Do one thing every day that scares you.”
  "
"
      “We are what we pretend to be, so we must be careful about what we pretend to be.”
  "
"
      “Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.”
  "
"
      “When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”
  "
"
      “Hold fast to dreams,"
"
      “What's meant to be will always find a way”
  "
"
      “The flower that blooms in adversity is the rarest and most beautiful of all.”
  "
"
      “If you're reading this..."
"
      “We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”
  "
"
      “You never have to change anything you got up in the middle of the night to write.”
  "
"
      “The unexamined life is not worth living.”
  "
"
      “Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”
  "
"
      “And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”
  "
"
      “I was never really insane except upon occasions when my heart was touched.”
  "
"
      “Pain is temporary. Quitting lasts forever.”
  "
"
      “It's not the load that breaks you down, it's the way you carry it.”
  "
